researcher_id,researcher_name,paper_count,paper_ids,categories,research_text
Bing Liu,Bing Liu,1,http://arxiv.org/abs/2012.12104v1,cs.AI;cs.CV,"a deep reinforcement learning approach for ramp metering based on traffic video data. ramp metering that uses traffic signals to regulate vehicle flows from the on-ramps has been widely implemented to improve vehicle mobility of the freeway. previous studies generally update signal timings in real-time based on predefined traffic measures collected by point detectors, such as traffic volumes and occupancies. comparing with point detectors, traffic cameras-which have been increasingly deployed on road networks-could cover larger areas and provide more detailed traffic information. in this work, we propose a deep reinforcement learning (drl) method to explore the potential of traffic video data in improving the efficiency of ramp metering. the proposed method uses traffic video frames as inputs and learns the optimal control strategies directly from the high-dimensional visual inputs. a real-world case study demonstrates that, in comparison with a state-of-the-practice method, the proposed drl method results in 1) lower travel times in the mainline, 2) shorter vehicle queues at the on-ramp, and 3) higher traffic flows downstream of the merging area. the results suggest that the proposed method is able to extract useful information from the video data for better ramp metering controls."
Yu Tang,Yu Tang,1,http://arxiv.org/abs/2012.12104v1,cs.AI;cs.CV,"a deep reinforcement learning approach for ramp metering based on traffic video data. ramp metering that uses traffic signals to regulate vehicle flows from the on-ramps has been widely implemented to improve vehicle mobility of the freeway. previous studies generally update signal timings in real-time based on predefined traffic measures collected by point detectors, such as traffic volumes and occupancies. comparing with point detectors, traffic cameras-which have been increasingly deployed on road networks-could cover larger areas and provide more detailed traffic information. in this work, we propose a deep reinforcement learning (drl) method to explore the potential of traffic video data in improving the efficiency of ramp metering. the proposed method uses traffic video frames as inputs and learns the optimal control strategies directly from the high-dimensional visual inputs. a real-world case study demonstrates that, in comparison with a state-of-the-practice method, the proposed drl method results in 1) lower travel times in the mainline, 2) shorter vehicle queues at the on-ramp, and 3) higher traffic flows downstream of the merging area. the results suggest that the proposed method is able to extract useful information from the video data for better ramp metering controls."
Yuxiong Ji,Yuxiong Ji,1,http://arxiv.org/abs/2012.12104v1,cs.AI;cs.CV,"a deep reinforcement learning approach for ramp metering based on traffic video data. ramp metering that uses traffic signals to regulate vehicle flows from the on-ramps has been widely implemented to improve vehicle mobility of the freeway. previous studies generally update signal timings in real-time based on predefined traffic measures collected by point detectors, such as traffic volumes and occupancies. comparing with point detectors, traffic cameras-which have been increasingly deployed on road networks-could cover larger areas and provide more detailed traffic information. in this work, we propose a deep reinforcement learning (drl) method to explore the potential of traffic video data in improving the efficiency of ramp metering. the proposed method uses traffic video frames as inputs and learns the optimal control strategies directly from the high-dimensional visual inputs. a real-world case study demonstrates that, in comparison with a state-of-the-practice method, the proposed drl method results in 1) lower travel times in the mainline, 2) shorter vehicle queues at the on-ramp, and 3) higher traffic flows downstream of the merging area. the results suggest that the proposed method is able to extract useful information from the video data for better ramp metering controls."
Yu Shen,Yu Shen,1,http://arxiv.org/abs/2012.12104v1,cs.AI;cs.CV,"a deep reinforcement learning approach for ramp metering based on traffic video data. ramp metering that uses traffic signals to regulate vehicle flows from the on-ramps has been widely implemented to improve vehicle mobility of the freeway. previous studies generally update signal timings in real-time based on predefined traffic measures collected by point detectors, such as traffic volumes and occupancies. comparing with point detectors, traffic cameras-which have been increasingly deployed on road networks-could cover larger areas and provide more detailed traffic information. in this work, we propose a deep reinforcement learning (drl) method to explore the potential of traffic video data in improving the efficiency of ramp metering. the proposed method uses traffic video frames as inputs and learns the optimal control strategies directly from the high-dimensional visual inputs. a real-world case study demonstrates that, in comparison with a state-of-the-practice method, the proposed drl method results in 1) lower travel times in the mainline, 2) shorter vehicle queues at the on-ramp, and 3) higher traffic flows downstream of the merging area. the results suggest that the proposed method is able to extract useful information from the video data for better ramp metering controls."
Yuchuan Du,Yuchuan Du,1,http://arxiv.org/abs/2012.12104v1,cs.AI;cs.CV,"a deep reinforcement learning approach for ramp metering based on traffic video data. ramp metering that uses traffic signals to regulate vehicle flows from the on-ramps has been widely implemented to improve vehicle mobility of the freeway. previous studies generally update signal timings in real-time based on predefined traffic measures collected by point detectors, such as traffic volumes and occupancies. comparing with point detectors, traffic cameras-which have been increasingly deployed on road networks-could cover larger areas and provide more detailed traffic information. in this work, we propose a deep reinforcement learning (drl) method to explore the potential of traffic video data in improving the efficiency of ramp metering. the proposed method uses traffic video frames as inputs and learns the optimal control strategies directly from the high-dimensional visual inputs. a real-world case study demonstrates that, in comparison with a state-of-the-practice method, the proposed drl method results in 1) lower travel times in the mainline, 2) shorter vehicle queues at the on-ramp, and 3) higher traffic flows downstream of the merging area. the results suggest that the proposed method is able to extract useful information from the video data for better ramp metering controls."
Xiren Zhou,Xiren Zhou,1,http://arxiv.org/abs/2012.13026v1,cs.AI,"rethink ai-based power grid control: diving into algorithm design. recently, deep reinforcement learning (drl)-based approach has shown promisein solving complex decision and control problems in power engineering domain.in this paper, we present an in-depth analysis of drl-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.to resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. the performance results demonstrate that theproposed approach has strong generalization ability with much less training time.the agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former rl agents."
Siqi Wang,Siqi Wang,1,http://arxiv.org/abs/2012.13026v1,cs.AI,"rethink ai-based power grid control: diving into algorithm design. recently, deep reinforcement learning (drl)-based approach has shown promisein solving complex decision and control problems in power engineering domain.in this paper, we present an in-depth analysis of drl-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.to resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. the performance results demonstrate that theproposed approach has strong generalization ability with much less training time.the agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former rl agents."
Ruisheng Diao,Ruisheng Diao,1,http://arxiv.org/abs/2012.13026v1,cs.AI,"rethink ai-based power grid control: diving into algorithm design. recently, deep reinforcement learning (drl)-based approach has shown promisein solving complex decision and control problems in power engineering domain.in this paper, we present an in-depth analysis of drl-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.to resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. the performance results demonstrate that theproposed approach has strong generalization ability with much less training time.the agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former rl agents."
Desong Bian,Desong Bian,1,http://arxiv.org/abs/2012.13026v1,cs.AI,"rethink ai-based power grid control: diving into algorithm design. recently, deep reinforcement learning (drl)-based approach has shown promisein solving complex decision and control problems in power engineering domain.in this paper, we present an in-depth analysis of drl-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.to resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. the performance results demonstrate that theproposed approach has strong generalization ability with much less training time.the agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former rl agents."
Jiahui Duan,Jiahui Duan,1,http://arxiv.org/abs/2012.13026v1,cs.AI,"rethink ai-based power grid control: diving into algorithm design. recently, deep reinforcement learning (drl)-based approach has shown promisein solving complex decision and control problems in power engineering domain.in this paper, we present an in-depth analysis of drl-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.to resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. the performance results demonstrate that theproposed approach has strong generalization ability with much less training time.the agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former rl agents."
